cd_UGestora,dt_Ano,quantidadeAditivoPorGestao,quantidadeConviteLicitacaoPorGestao
201104,2013,8,4
201105,2009,27,35
201105,2013,39,9
201106,2009,25,271
201106,2013,31,22
201107,2013,16,15
201108,2009,54,217
201108,2013,78,6
201109,2009,2,186
201109,2013,44,5
201110,2009,274,479
201110,2013,177,30
201111,2009,26,343
201111,2013,47,16
201112,2009,31,249
201112,2013,7,19
201113,2009,22,375
201113,2013,40,52
201114,2009,2,202
201114,2013,31,25
201115,2013,10,34
201116,2009,24,155
201116,2013,59,46
201117,2009,3,117
201117,2013,7,25
201118,2009,6,8
201118,2013,11,2
201119,2009,27,228
201119,2013,19,10
201120,2009,57,266
201120,2013,112,32
201121,2009,18,207
201121,2013,15,25
201122,2009,8,152
201122,2013,26,18
201123,2009,18,180
201123,2013,62,25
201124,2009,2,119
201124,2013,16,24
201125,2009,18,109
201125,2013,75,4
201126,2009,27,212
201126,2013,53,0
201127,2009,232,468
201127,2013,67,125
201128,2009,2,78
201128,2013,12,18
201129,2009,6,138
201129,2013,3,20
201130,2009,4,105
201130,2013,9,15
201131,2009,2,84
201131,2013,8,48
201132,2009,8,29
201132,2013,40,25
201133,2009,11,179
201133,2013,15,34
201134,2009,28,214
201134,2013,17,13
201135,2009,51,437
201135,2013,95,1
201136,2009,19,92
201136,2013,69,45
201137,2009,34,252
201137,2013,51,18
201138,2009,8,143
201138,2013,75,35
201139,2009,105,283
201139,2013,57,41
201140,2009,67,223
201140,2013,81,26
201141,2009,36,314
201141,2013,25,6
201142,2009,90,250
201142,2013,102,38
201143,2013,17,20
201144,2009,2,186
201144,2013,6,21
201145,2009,8,73
201145,2013,19,13
201146,2009,9,212
201146,2013,34,11
201147,2009,2,56
201147,2013,7,12
201148,2009,3,191
201148,2013,15,2
201149,2009,3,116
201149,2013,15,3
201150,2009,19,297
201150,2013,4,13
201151,2009,205,146
201151,2013,145,1
201152,2009,6,198
201152,2013,9,49
201153,2013,16,24
201154,2013,35,21
201155,2009,193,206
201155,2013,59,128
201156,2009,23,190
201156,2013,20,3
201157,2009,4,239
201157,2013,5,55
201158,2009,20,169
201158,2013,51,20
201159,2009,21,186
201159,2013,10,30
201160,2009,3,72
201160,2013,20,35
201161,2009,2,11
201161,2013,34,61
201162,2009,50,131
201162,2013,55,8
201163,2009,76,267
201163,2013,37,51
201164,2013,17,37
201165,2009,1,142
201165,2013,52,32
201166,2009,8,12
201166,2013,35,24
201167,2009,2,51
201167,2013,22,8
201168,2009,2,205
201168,2013,9,9
201169,2013,13,7
201170,2009,148,307
201170,2013,123,18
201171,2009,89,94
201171,2013,120,26
201172,2009,65,209
201172,2013,79,14
201173,2009,11,109
201173,2013,75,21
201174,2009,4,139
201174,2013,16,8
201175,2009,1,221
201175,2013,32,6
201176,2013,6,48
201177,2013,3,16
201178,2009,67,36
201178,2013,86,25
201179,2009,73,58
201179,2013,56,2
201180,2009,2,94
201180,2013,12,78
201181,2009,73,50
201181,2013,73,1
201182,2013,12,31
201183,2009,16,292
201183,2013,19,9
201184,2009,8,18
201184,2013,5,28
201185,2009,56,56
201185,2013,71,0
201186,2009,13,228
201186,2013,30,22
201187,2009,3,219
201187,2013,22,8
201188,2009,4,278
201188,2013,16,12
201189,2013,9,5
201190,2009,30,506
201190,2013,31,81
201191,2009,2,2
201191,2013,11,9
201192,2009,7,123
201192,2013,35,5
201193,2013,23,55
201194,2009,4,155
201194,2013,74,17
201195,2009,147,170
201195,2013,81,2
201196,2009,2,109
201196,2013,15,5
201197,2009,76,354
201197,2013,25,53
201199,2009,11,149
201199,2013,1,18
201200,2009,82,185
201200,2013,83,19
201201,2013,37,17
201202,2009,36,151
201202,2013,33,26
201203,2013,65,26
201204,2009,7,65
201204,2013,7,29
201205,2009,12,87
201205,2013,12,13
201206,2009,7,202
201206,2013,13,23
201207,2009,6,28
201207,2013,46,48
201208,2009,66,395
201208,2013,43,36
201209,2009,3,158
201209,2013,33,12
201210,2009,45,68
201210,2013,40,25
201211,2009,128,333
201211,2013,68,27
201212,2009,50,366
201212,2013,48,37
201213,2009,84,128
201213,2013,69,70
201214,2009,9,159
201214,2013,71,14
201215,2009,34,217
201215,2013,70,29
201216,2013,14,17
201217,2013,19,6
201218,2009,7,221
201218,2013,39,5
201219,2013,1,10
201220,2009,27,74
201220,2013,50,1
201221,2009,89,155
201221,2013,42,3
201222,2009,16,202
201222,2013,47,5
201223,2009,8,110
201223,2013,9,9
301004,2009,2,4
301008,2009,1,1
301027,2013,1,0
301030,2009,1,1
301036,2013,2,0
301040,2009,1,8
301040,2013,2,5
301050,2013,10,6
301061,2013,3,0
301062,2013,8,11
301082,2013,1,1
301095,2013,10,5
301103,2009,2,3
301129,2013,1,0
301135,2013,1,0
301138,2009,1,0
301139,2013,1,5
301147,2013,1,1
301149,2009,3,2
301150,2013,1,0
301153,2013,1,0
301155,2009,2,3
301170,2013,2,0
301171,2009,1,4
301171,2013,1,0
301194,2013,2,1
301212,2009,2,2
301213,2013,1,0
302050,2009,1,1
302095,2009,3,17
302095,2013,8,4
303050,2009,3,35
303050,2013,10,41
303095,2013,7,0
304050,2009,1,0
304095,2013,53,7
601001,2013,58,24
601003,2013,13,25
601005,2013,2,8
601011,2009,2,16
601011,2013,21,7
601013,2013,38,2
601017,2009,11,19
601025,2009,35,34
601025,2013,4,0
601026,2013,1,9
601031,2013,2,10
601040,2013,14,10
601043,2013,13,6
601044,2013,10,4
601046,2009,15,121
601046,2013,7,15
601047,2009,2,10
601047,2013,4,9
601050,2009,15,13
601050,2013,125,63
601052,2013,4,19
601053,2013,1,7
601055,2013,8,22
601067,2013,1,0
601068,2013,4,8
601069,2013,9,9
601071,2013,2,4
601073,2013,10,7
601075,2013,12,14
601078,2009,1,1
601082,2009,19,203
601087,2013,1,9
601089,2009,27,71
601090,2013,15,25
601091,2013,17,16
601095,2009,1,1
601095,2013,1,0
601097,2013,20,2
601098,2013,1,5
601099,2009,1,21
601099,2013,10,12
601102,2009,2,8
601102,2013,17,35
601107,2013,12,13
601110,2009,6,46
601110,2013,57,31
601111,2009,3,23
601111,2013,13,9
601112,2013,5,6
601115,2013,3,26
601116,2009,2,3
601116,2013,42,17
601123,2009,2,31
601132,2013,32,9
601139,2013,2,7
601140,2009,5,20
601140,2013,26,23
601143,2013,7,19
601147,2013,2,3
601148,2013,1,3
601150,2009,1,1
601150,2013,1,1
601151,2009,117,51
601151,2013,34,19
601154,2009,1,18
601154,2013,14,6
